EXV1.DE_log_returns,EXV2.DE_log_returns,EXV3.DE_log_returns,EXV5.DE_log_returns,EXV6.DE_log_returns,EXV1.DE_log_volume_change,EXV2.DE_log_volume_change,EXV3.DE_log_volume_change,EXV5.DE_log_volume_change,EXV6.DE_log_volume_change,CL=F_log_returns,GC=F_log_returns,CL=F_log_volume_change,GC=F_log_volume_change,log_change_eu_hcpi,eu_interest_rates_z_score,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
-0.01165701842251647,-0.0016598003790871372,0.0010646369745352104,-0.018531118740014365,-0.010385392074743894,1.3220262826629028,0.25597937197744974,4.518049998497569,1.224688218862047,3.1759026564198742,0.04056480047517171,0.01710389008364776,1.8573149729876017,1.374413033233138,0.0009979044835690674,-0.05750193290641999,0,0,0,0,0,1,0,0,0,0,0,0
-0.021526956469343668,-0.008005319331587012,0.007069635939966604,0.007492244772626393,0.02066355888041206,-1.9406648694733002,-0.6850418959060058,-4.9433964771595615,-1.8109531097193172,-1.0047380818421232,0.0032684201916135997,0.032822747664160386,-0.2667856812980915,0.3564757209078912,0.0009979044835690674,-0.05750193290641999,0,0,0,0,0,1,0,0,0,0,0,0
-0.031543510393768424,-0.005036251389497164,-0.021720599631376646,-0.02088670276641323,-0.00859762559105635,0.9719618947609626,1.0396622043400086,3.9457140931907833,1.6509980176790178,-0.3812960012520447,-0.014272582866522134,0.0021251137930971323,-0.048384122128533276,0.14554632459134,0.0009979044835690674,-0.05750193290641999,0,0,0,0,0,1,0,0,0,0,0,0
0.01228848374000927,0.0006731667275696357,0.024183080592261125,0.02126883042351668,0.05279144328304839,0.33178353969551766,-0.5443164957143987,-0.16745658696180407,-1.0393799024290318,0.8287819713011813,-0.016015598204000028,0.0010608657516221077,-0.08746020095887516,-0.8522673152450869,-0.005200011717380938,-0.08371708778595388,0,0,0,0,0,0,1,0,0,0,0,0
-0.040178623689179044,-0.030740323698204,-0.03613318030473179,-0.03921264429316306,-0.023715058639848,1.274161943318324,0.9290911582776666,0.5540282112481935,0.7960876431783999,1.1248179852910374,-0.0315316838356884,0.012493558633006526,0.3485486193934309,-1.4257035934555569,-0.005200011717380938,-0.08371708778595388,0,0,0,0,0,0,1,0,0,0,0,0
0.012132601581894428,0.010418357415816171,0.024705058460279934,-0.002625206107294282,0.02894662452669893,0.15757346722833201,-1.9777634257171113,2.676289180469416,0.545452768832926,1.2796772055216237,0.022554353130801667,-0.021012071771072605,0.10975462962347468,0.7650117417895893,-0.005200011717380938,-0.08371708778595388,0,0,0,0,0,0,1,0,0,0,0,0
0.03029317917135803,0.01487140816853284,0.010332893796884703,-0.0089984616446989,0.03641696222383565,-0.9965224293975098,0.6029785365176248,-3.0476469902386216,-1.3536996724668227,-1.0138000990992715,-0.010135560386204261,-0.004670203915381928,-0.17952347965534254,-2.9389794569615417,-0.005200011717380938,-0.08371708778595388,0,0,0,0,0,0,1,0,0,0,0,0
-0.0301893823191915,-0.02151348139015282,-0.020050493075593326,-0.058584943900515045,-0.04423091865390697,-0.496898207691202,-0.24511303458002984,-1.0297662843217354,0.8520302411337761,0.3745565407557549,-0.04211253079577828,-0.0073170120255529264,0.1728959882607567,8.95852680436764,0.0010021045031411038,-0.09342358675039744,0,0,0,0,0,0,0,1,0,0,0,0
-0.02418596393114281,-0.03606885001308248,-0.015674101926710243,-0.032543188516786135,-0.0032356090391506905,-0.1690649865897621,1.6056035899719827,0.923181216237813,1.6735865479150682,-0.20735928814962395,-0.00235253756507534,0.011758098060088934,-0.05244949304292761,-4.236646955516553,0.0010021045031411038,-0.09342358675039744,0,0,0,0,0,0,0,1,0,0,0,0
0.012849125300477578,0.015873230504333966,0.010597988392987695,0.00717516870253985,0.004388669845923625,-0.0683866309618401,-1.6967301933030399,0.178895056906295,-2.716150935433497,-1.0974080375601514,-0.0030769568046334138,-0.0033672828732415217,0.07292861849804107,-0.8528363360832178,0.0010021045031411038,-0.09342358675039744,0,0,0,0,0,0,0,1,0,0,0,0
