Date,EXV1.DE,EXV2.DE,EXV3.DE,EXV5.DE,EXV6.DE
2014-06-06,13.771135330200195,19.41364288330078,25.20799446105957,36.41072082519531,27.72875213623047
2014-06-09,13.872105598449707,19.574615478515625,25.270654678344727,36.341800689697266,27.948606491088867
2014-06-10,13.79588794708252,19.516658782958984,25.369117736816406,36.17639923095703,27.788707733154297
2014-06-11,13.662346839904785,19.36212730407715,25.22589683532715,36.00410079956055,27.802034378051758
2014-06-12,13.637598991394043,19.42008399963379,25.324369430541992,36.00410079956055,27.362329483032227
2014-06-13,13.611536979675293,19.381446838378906,25.234846115112305,35.74220275878906,27.44226837158203
2014-06-16,13.491025924682617,19.19471549987793,25.216943740844727,35.61814498901367,27.482248306274414
2014-06-17,13.539883613586426,19.18827247619629,25.34227180480957,35.83867645263672,27.588848114013672
2014-06-18,13.48125171661377,19.3492431640625,25.440732955932617,35.8455810546875,27.72875213623047
2014-06-19,13.476694107055664,19.4007625579834,25.50339698791504,36.10748291015625,27.948606491088867
2014-06-20,13.321653366088867,19.226911544799805,25.41387939453125,36.0109977722168,28.015222549438477
2014-06-23,13.271491050720215,19.143205642700195,25.458635330200195,35.63882827758789,28.30170440673828
2014-06-24,13.170523643493652,19.123886108398438,25.33331298828125,35.65260696411133,28.101850509643555
2014-06-25,13.056524276733398,18.99510383605957,24.930490493774414,35.3975944519043,27.648807525634766
2014-06-26,12.90343952178955,19.16252326965332,24.849924087524414,35.1839485168457,27.83534049987793
2014-06-27,12.907999992370605,19.13032341003418,24.867826461791992,35.26664733886719,27.775390625
2014-06-30,12.805724143981934,19.072372436523438,24.814111709594727,35.135704040527344,27.70210838317871
2014-07-01,13.05456829071045,19.28485870361328,25.109521865844727,35.62504196166992,28.401649475097656
2014-07-02,13.076064109802246,19.04661750793457,25.181135177612305,35.8455810546875,28.64815330505371
2014-07-03,13.2161226272583,19.18827247619629,25.485490798950195,36.15572738647461,29.267757415771484
2014-07-04,13.067598342895508,19.143205642700195,25.476537704467773,36.02476119995117,29.28108787536621
2014-07-07,12.9132080078125,19.02729606628418,25.31541633605957,35.56990432739258,29.054567337036133
2014-07-08,12.627886772155762,18.71822738647461,24.876781463623047,34.908267974853516,28.861345291137695
2014-07-09,12.663718223571777,18.71822738647461,24.867826461791992,34.89448165893555,28.887996673583984
2014-07-10,12.504117012023926,18.563690185546875,24.626131057739258,34.5567741394043,28.641498565673828
2014-07-11,12.55296802520752,18.563690185546875,24.57242202758789,34.63947296142578,28.5948543548584
2014-07-14,12.706055641174316,18.711788177490234,24.787267684936523,35.018531799316406,28.901321411132812
2014-07-15,12.633583068847656,18.731962203979492,24.4833927154541,34.886253356933594,29.091005325317383
2014-07-16,12.89763069152832,18.986858367919922,24.68185806274414,35.420806884765625,29.89965057373047
2014-07-17,12.707514762878418,18.745031356811523,24.708913803100586,34.93548583984375,29.380775451660156
2014-07-18,12.706195831298828,18.75810432434082,25.18704605102539,34.54865646362305,29.434675216674805
2014-07-21,12.634904861450195,18.666601181030273,25.15095329284668,34.18291473388672,29.46163558959961
2014-07-22,12.778812408447266,18.967256546020508,25.565927505493164,34.527557373046875,30.18942642211914
2014-07-23,12.826339721679688,18.941112518310547,25.574953079223633,34.62602615356445,30.30396842956543
2014-07-24,13.080490112304688,18.999937057495117,25.746349334716797,34.858123779296875,30.28376579284668
2014-07-25,13.096996307373047,19.039148330688477,25.448650360107422,34.239166259765625,30.52635383605957
2014-07-28,13.09039306640625,19.045684814453125,25.268232345581055,33.55693435668945,30.398319244384766
2014-07-29,13.145184516906738,19.143718719482422,25.367464065551758,33.669464111328125,30.620698928833008
2014-07-30,13.176209449768066,19.143718719482422,25.674179077148438,33.331851959228516,30.2635440826416
2014-07-31,12.912158012390137,18.856142044067383,25.322357177734375,32.74807357788086,29.751401901245117
2014-08-01,12.707514762878418,18.63392448425293,24.94347381591797,32.2908935546875,29.205570220947266
2014-08-04,12.793333053588867,18.562028884887695,24.663818359375,32.43861770629883,29.326868057250977
2014-08-05,12.691014289855957,18.548952102661133,24.880321502685547,32.12208938598633,29.347078323364258
2014-08-06,12.529282569885254,18.424776077270508,24.74500846862793,31.728219985961914,29.495332717895508
2014-08-07,12.351046562194824,18.28098487854004,24.717941284179688,31.116300582885742,29.091005325317383
2014-08-08,12.403858184814453,17.973796844482422,24.55555534362793,31.256959915161133,29.111225128173828
2014-08-11,12.47317123413086,18.202556610107422,24.970535278320312,31.99549102783203,29.839006423950195
2014-08-12,12.46987247467041,18.15680503845215,24.826202392578125,31.559404373168945,29.825529098510742
2014-08-13,12.641502380371094,18.294057846069336,24.80815315246582,31.749311447143555,29.448171615600586
2014-08-14,12.648106575012207,18.24176788330078,24.916406631469727,31.946247100830078,29.33360481262207
2014-08-15,12.564265251159668,18.261375427246094,24.81717872619629,31.482040405273438,29.23926544189453
2014-08-18,12.717418670654297,18.444381713867188,25.20508575439453,32.03065490722656,29.690757751464844
2014-08-19,12.763629913330078,18.529346466064453,25.448650360107422,32.52299880981445,29.198833465576172
2014-08-20,12.749104499816895,18.4639892578125,25.502782821655273,32.452667236328125,29.374042510986328
2014-08-21,12.892354965209961,18.640451431274414,25.719289779663086,32.93094253540039,29.25273323059082
2014-08-22,12.910839080810547,18.68621253967285,25.69222068786621,32.656639099121094,29.01688003540039
2014-08-25,13.169609069824219,18.9934024810791,26.08013343811035,33.24042892456055,29.45490074157715
2014-08-26,13.260708808898926,18.88882064819336,26.1162166595459,33.4725227355957,29.326868057250977
2014-08-27,13.298333168029785,18.973791122436523,26.10719871520996,33.31074905395508,29.40773582458496
2014-08-28,13.156405448913574,18.98032569885254,25.926774978637695,32.83247375488281,28.747333526611328
2014-08-29,13.179510116577148,18.9934024810791,26.1162166595459,32.677738189697266,29.01013946533203
